,harry,ron,hermione,seamus,spells,hooch,students,draco,dean,neville,minerva,wood,fred_george,ghosts,quirrell,spells
harry,0,92,19,0,0,0,0,15,0,0,0,0,0,0,0,0
ron,114,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
hermione,66,87,3,0,0,0,0,0,0,14,0,0,0,0,0,1
seamus,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
spells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hooch,0,0,0,0,0,0,154,0,0,24,0,0,0,0,0,0
students,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
draco,32,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
dean,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
neville,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
minerva,12,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0
wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fred_george,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghosts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quirrell,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
nearly_headless_nick,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
