,minerva,students,draco,harry,dumbledore,sorting_hat,ron,hermione,percy,nearly_headless_nick,seamus,portraits,neville,trevor
minerva,0,147,0,0,0,0,0,0,0,0,0,0,0,0
students,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draco,0,17,0,38,0,0,23,0,0,0,0,0,0,0
harry,0,0,12,0,0,8,4,0,12,0,0,0,0,0
dumbledore,0,67,0,0,0,0,0,0,0,0,0,0,0,0
sorting_hat,0,0,1,65,0,0,11,5,0,0,0,0,0,0
ron,0,0,0,24,0,0,0,0,0,7,0,0,0,0
hermione,0,21,0,0,0,0,0,4,0,8,0,0,0,0
percy,0,77,0,22,0,0,0,0,0,6,0,2,0,0
nearly_headless_nick,0,7,0,0,0,0,8,2,13,0,0,0,0,0
seamus,0,19,0,0,0,0,0,0,0,0,0,0,0,0
portraits,0,3,0,0,0,0,0,0,1,0,0,0,0,0
neville,0,0,0,0,0,0,0,0,0,0,0,0,0,1
trevor,0,0,0,0,0,0,0,0,0,0,0,0,0,0
